id,src,datetime,name,latitude,longitude,location,RadiantOutput,Temperature,RadiativeHeat,footprint,SatZenithAngle,SourceID,region,srcfile,quality
2634373,VIIRS,2013-08-07 01:16:23+00:00,,61.365116,1.56416,0101000020E6100000BB61DBA2CC06F93F889FFF1EBCAE4E40,2.1,1724,1.52,3.03,__None__,SVM10_npp_d20130807_t0110080_e0115484_IR_source_5,__None__,viirs-ir-sources-20130807.kmz,1
2634374,VIIRS,2013-08-07 01:16:24+00:00,,61.361469,1.582169,0101000020E61000009EEBFB709050F93F48C2BE9D44AE4E40,2.55,1677,3.68,8.21,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_2,__None__,viirs-ir-sources-20130807.kmz,1
2634375,VIIRS,2013-08-07 01:16:24+00:00,,61.25169,1.853986,0101000020E6100000A4DE5339EDA9FD3F795DBF6037A04E40,0.51,1810,0.72,1.18,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_4,__None__,viirs-ir-sources-20130807.kmz,0
2634376,VIIRS,2013-08-07 01:16:26+00:00,,61.27758,0.913056,0101000020E610000097546D37C137ED3F0803CFBD87A34E40,1.31,1344,1.02,5.49,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_6,__None__,viirs-ir-sources-20130807.kmz,1
2634377,VIIRS,2013-08-07 01:16:26+00:00,,61.239914,1.148158,0101000020E610000096404AECDA5EF23F20ED7F80B59E4E40,1.44,1742,1.09,2.09,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_7,__None__,viirs-ir-sources-20130807.kmz,1
2634378,VIIRS,2013-08-07 01:16:28+00:00,,61.097355,1.722474,0101000020E6100000685DA3E5408FFB3F118DEE20768C4E40,2.93,1576,4.13,11.82,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_8,__None__,viirs-ir-sources-20130807.kmz,1
2634379,VIIRS,2013-08-07 01:16:28+00:00,,61.096405,1.070753,0101000020E61000009180D1E5CD21F13FDF15C1FF568C4E40,6.04,1577,4.59,13.08,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_11,__None__,viirs-ir-sources-20130807.kmz,1
2634380,VIIRS,2013-08-07 01:16:33+00:00,,60.813831,1.736354,0101000020E6100000E675C4211BC8FB3F49BC3C9D2B684E40,0.36,1501,0.51,1.78,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_12,__None__,viirs-ir-sources-20130807.kmz,1
2634381,VIIRS,2013-08-07 01:16:33+00:00,,59.361404,16.690022,0101000020E610000040852348A5B0304061527C7C42AE4D40,6.74,1193,3.89,33.84,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_15,__None__,viirs-ir-sources-20130807.kmz,1
2634382,VIIRS,2013-08-07 01:16:35+00:00,,54.36768,35.585144,0101000020E6100000AEB9A3FFE5CA414057B26323102F4B40,0.33,1810,0.49,0.81,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_18,__None__,viirs-ir-sources-20130807.kmz,0
2634383,VIIRS,2013-08-07 01:16:37+00:00,,60.542355,3.04609,0101000020E61000009161156F645E08403AE97DE36B454E40,1.36,1721,1.63,3.28,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_19,__None__,viirs-ir-sources-20130807.kmz,1
2634384,VIIRS,2013-08-07 01:16:44+00:00,,58.67284,17.133703,0101000020E610000089601C5C3A22314067B8019F1F564D40,0.92,1124,0.53,5.85,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_21,__None__,viirs-ir-sources-20130807.kmz,1
2634385,VIIRS,2013-08-07 01:16:49+00:00,,59.642433,6.362053,0101000020E6100000BDAC8905BE721940826F9A3E3BD24D40,2.73,1037,2.19,33.4,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_23,__None__,viirs-ir-sources-20130807.kmz,1
2634386,VIIRS,2013-08-07 01:16:53+00:00,,59.610546,1.516477,0101000020E6100000D82D02637D43F83F105A0F5F26CE4D40,14.22,1650,19.85,47.21,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_25,__None__,viirs-ir-sources-20130807.kmz,1
2634387,VIIRS,2013-08-07 01:16:55+00:00,,59.546196,1.524907,0101000020E61000004510E7E10466F83F5F9A22C0E9C54D40,1.05,1678,1.46,3.24,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_26,__None__,viirs-ir-sources-20130807.kmz,1
2634388,VIIRS,2013-08-07 01:16:58+00:00,,59.355122,1.575324,0101000020E610000097A949F08634F93F890B40A374AD4D40,1.28,1702,1.76,3.7,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_29,__None__,viirs-ir-sources-20130807.kmz,1
2634389,VIIRS,2013-08-07 01:17:00+00:00,,58.360489,12.381501,0101000020E610000058C85C1954C32840ACC8E880242E4D40,1.2,1489,0.79,2.84,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_31,__None__,viirs-ir-sources-20130807.kmz,1
2634390,VIIRS,2013-08-07 01:17:05+00:00,,58.878239,1.52502,0101000020E61000004AEF1B5F7B66F83F2F89B3226A704D40,1,1810,1.37,2.24,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_32,__None__,viirs-ir-sources-20130807.kmz,0
