Waypoint Title	URL	Captive URL	Annotation Title	Annotation Text	Share View	Annotation Picture Path	Credits	Author	Dateline	Story Mode	Landscape override														
#Earth Day 2018			Earth Day 2018	Drawing upon EarthTime's vast data library, the stories below were curated in honor of Earth Day 2018. Learn more about our collective impact on the planet with the compelling animations accompanied by fact-based narratives from international experts.	https://earthtime.org/#theme=big_picture_on_nature&story=default&v=4.56342,0,0.183,latLng&t=0.00&ps=50&l=blsat&bt=19840101&et=20161231																				
##Deforestation	https://earthtime.org/stories/Deforestation	https://earthtime.org/m/stories/Deforestation	Deforestation	Deforestation in the Tropics: Forests Converting to Farmlands to Produce Food and Biofuels	https://earthtime.org/#theme=big_picture_on_nature&v=-17.27631,-62.10121,11.261,latLng&t=1.41&ps=50&bt=19840101&et=20161231&l=blsat&startDwell=0			Story by: Frances Seymour <br>Data from: USGS, NASA, Google, UNEP-WCMC, IUCN, UN COMTRADE, OEC		TRUE															
Amazon Rainforest			Deforestation in the Amazon	This is a large patch of intact Amazon rainforest in the Brazilian state of Rondônia in 1984.	https://earthtime.org/#theme=big_picture_on_nature&v=-12.07145,-63.58015,11.539,latLng&t=0&ps=0&bt=19840101&et=19841231&startDwell=0&l=blsat																				
Rondônia				In 1985, a single road is built.	https://earthtime.org/#theme=big_picture_on_nature&v=-12.07145,-63.58015,11.539,latLng&t=0.1&ps=0&bt=19850101&et=19851231&startDwell=0&l=blsat																				
Forest to Farmland				Over the next 30 years, this area is almost completely converted to farmland, with a town of a population of 20,000 in the center.	https://earthtime.org/#theme=big_picture_on_nature&v=-12.07145,-63.58015,10.539,latLng&t=0.1&ps=50&bt=19850101&et=20161231&l=blsat&startDwell=0																				
Mass Deforestation				Zooming out to a much larger portion of the southern Amazon rainforest, notice the extent of deforestation from converted land.	https://earthtime.org/#theme=big_picture_on_nature&v=-12.65199,-60.4751,5.474,latLng&t=0.93&ps=100&bt=19840101&et=20161231&l=blsat&startDwell=0																				
Brazil Soybean			Global Exports	These flows represent the export of soybean oil from Brazil, which is used in food and as a feedstock for biodiesel fuel. The major driver of deforestation in Brazil has been both forest clearing for soybean cultivation and cattle pasture to produce beef.	https://earthtime.org/#theme=deforestation&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=-8.37181,-54.54432,2.55,latLng&t=0.00&ps=50&l=sitc4r2_commodities_4232_exports_brazil,blsat&bt=20100101&et=20111231&startDwell=0																				
Global Exports				Brazil exports soy products all over the world.	https://earthtime.org/#theme=big_picture_on_nature&story=default&v=-12.92015,13.9148,0.159,latLng&t=1.39&ps=50&l=bdrk,sitc4r2_commodities_4232_exports_brazil&bt=20120101&et=20121231&rebuild=1																				
Indonesia Exports				Similarly, Indonesia exports palm oil all over the world.	https://earthtime.org/explore#theme=big_picture_on_nature&v=-12.92015,13.9148,0.159,latLng&t=0.14&ps=50&bt=20120101&et=20121231&l=bdrk,sitc4r2_commodities_4242_exports																				
Palm Oil Plantation			Palm Oil Plantation Development	In Indonesia, palm oil plantations are a major cause of deforestation and degradation of carbon-rich peatlands. Illegal burning to clear land leads to catastrophic fires, which in 2015 were estimated to have caused 100,000 premature deaths. 	https://earthtime.org/#theme=deforestation&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=2.20103,100.11238,8.11,latLng&t=0.00&ps=50&l=blsat&startDwell=0																				
