id,src,datetime,name,latitude,longitude,location,RadiantOutput,Temperature,RadiativeHeat,footprint,SatZenithAngle,SourceID,region,srcfile,quality
2648489,VIIRS,2013-08-05 15:46:52+00:00,,-11.654438,142.433777,0101000020E610000039984D80E1CD6140F1845E7F124F27C0,5.11,1044,2.96,43.88,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_36,__None__,viirs-ir-sources-20130805.kmz,1
2648490,VIIRS,2013-08-05 15:46:52+00:00,,-11.660998,142.389145,0101000020E6100000DD0C37E073CC61405C7171546E5227C0,9.64,1123,5.59,61.95,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_41,__None__,viirs-ir-sources-20130805.kmz,1
2648491,VIIRS,2013-08-05 15:46:52+00:00,,-11.679932,142.422333,0101000020E6100000B1E07EC083CD6140FC010F0C205C27C0,1.66,1031,0.96,14.96,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_42,__None__,viirs-ir-sources-20130805.kmz,1
2648492,VIIRS,2013-08-05 15:47:01+00:00,,-12.25031,142.561188,0101000020E61000000B5D8940F5D1614039B9DFA1288028C0,2.68,1038,1.55,23.45,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_44,__None__,viirs-ir-sources-20130805.kmz,1
2648493,VIIRS,2013-08-05 15:47:03+00:00,,-12.261402,142.551956,0101000020E6100000971AA19FA9D16140CE37A27BD68528C0,4.48,1097,2.58,31.46,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_45,__None__,viirs-ir-sources-20130805.kmz,1
2648494,VIIRS,2013-08-05 15:47:05+00:00,,-12.329779,142.214005,0101000020E6100000C6850321D9C66140AFD007CBD8A828C0,3.31,1030,1.92,30.03,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_46,__None__,viirs-ir-sources-20130805.kmz,1
2648495,VIIRS,2013-08-05 15:47:10+00:00,,-12.612062,141.992462,0101000020E6100000BA10AB3FC2BF6140AB3FC230603929C0,17.12,1004,9.98,173.1,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_48,__None__,viirs-ir-sources-20130805.kmz,1
2648496,VIIRS,2013-08-05 15:47:10+00:00,,-12.633194,141.996262,0101000020E6100000EC87D860E1BF6140FE0B0401324429C0,2.88,973,1.68,32.97,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_52,__None__,viirs-ir-sources-20130805.kmz,1
2648497,VIIRS,2013-08-05 15:47:10+00:00,,-12.648794,142.008301,0101000020E6100000C570750044C061409BAE27BA2E4C29C0,2.72,1033,1.58,24.57,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_53,__None__,viirs-ir-sources-20130805.kmz,1
2648498,VIIRS,2013-08-05 15:47:10+00:00,,-12.64994,142.015411,0101000020E6100000F59F353F7EC0614078B988EFC44C29C0,2.54,1048,1.48,21.56,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_54,__None__,viirs-ir-sources-20130805.kmz,1
2648499,VIIRS,2013-08-05 15:47:12+00:00,,-12.909119,142.620392,0101000020E610000067D65240DAD361402E58AA0B78D129C0,3.2,1120,1.85,20.65,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_56,__None__,viirs-ir-sources-20130805.kmz,1
2648500,VIIRS,2013-08-05 15:47:14+00:00,,-12.91593,142.626938,0101000020E6100000D4D347E00FD46140BED9E6C6F4D429C0,0.72,1146,0.41,4.22,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_57,__None__,viirs-ir-sources-20130805.kmz,1
2648501,VIIRS,2013-08-05 15:47:21+00:00,,-11.610639,132.761658,0101000020E6100000941799805F9860400553CDACA53827C0,0.83,1207,0.89,7.37,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_61,__None__,viirs-ir-sources-20130805.kmz,1
2648502,VIIRS,2013-08-05 15:47:21+00:00,,-11.715098,133.118607,0101000020E61000007442E8A0CBA36040B9DE3653216E27C0,1.34,1097,1.31,15.98,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_62,__None__,viirs-ir-sources-20130805.kmz,1
2648503,VIIRS,2013-08-05 15:47:21+00:00,,-11.739495,133.068512,0101000020E610000046EC134031A260406D1CB1169F7A27C0,2.63,1159,2.61,25.47,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_63,__None__,viirs-ir-sources-20130805.kmz,1
2648504,VIIRS,2013-08-05 15:47:21+00:00,,-11.753211,133.08078,0101000020E61000007845F0BF95A2604094F947DFA48127C0,4.27,1235,4.21,31.94,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_67,__None__,viirs-ir-sources-20130805.kmz,1
2648505,VIIRS,2013-08-05 15:47:23+00:00,,-12.048255,134.066895,0101000020E610000082A8FB0024C26040A9BC1DE1B41828C0,2.14,1005,1.67,28.86,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_68,__None__,viirs-ir-sources-20130805.kmz,1
2648506,VIIRS,2013-08-05 15:47:23+00:00,,-12.05057,134.079208,0101000020E61000009C3237DF88C260404451A04FE41928C0,2.07,1012,1.61,26.98,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_69,__None__,viirs-ir-sources-20130805.kmz,1
2648507,VIIRS,2013-08-05 15:47:23+00:00,,-13.47226,142.288773,0101000020E6100000F8DEDFA03DC96140FD6A0E10CCF12AC0,2.75,1027,1.58,25.1,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_70,__None__,viirs-ir-sources-20130805.kmz,1
2648508,VIIRS,2013-08-05 15:47:23+00:00,,-13.654904,143.238144,0101000020E6100000A3772AE09EE76140070ABC934F4F2BC0,1.33,1117,0.78,8.85,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_73,__None__,viirs-ir-sources-20130805.kmz,1
2648509,VIIRS,2013-08-05 15:47:24+00:00,,-13.661155,143.245041,0101000020E6100000BB253960D7E761407C2C7DE882522BC0,2.23,919,1.31,32.39,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_74,__None__,viirs-ir-sources-20130805.kmz,1
2648510,VIIRS,2013-08-05 15:47:24+00:00,,-13.532,142.199081,0101000020E610000029081EDF5EC66140AAF1D24D62102BC0,1.49,984,0.86,16.17,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_75,__None__,viirs-ir-sources-20130805.kmz,1
2648511,VIIRS,2013-08-05 15:47:24+00:00,,-12.013078,133.486328,0101000020E610000021E4BCFF8FAF60401C98DC28B20628C0,10.96,1234,9.73,74.11,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_77,__None__,viirs-ir-sources-20130805.kmz,1
2648512,VIIRS,2013-08-05 15:47:24+00:00,,-12.005548,133.331818,0101000020E61000002C47C8409EAA6040CD1DFD2FD70228C0,3.02,1279,2.78,18.3,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_79,__None__,viirs-ir-sources-20130805.kmz,1
2648513,VIIRS,2013-08-05 15:47:24+00:00,,-12.037716,133.325516,0101000020E610000064CA87A06AAA60406612F5824F1328C0,1.5,1244,1.38,10.14,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_81,__None__,viirs-ir-sources-20130805.kmz,1
2648514,VIIRS,2013-08-05 15:47:24+00:00,,-12.328141,134.882736,0101000020E61000000F60915F3FDC604017F4DE1802A828C0,1.7,1103,2.18,25.97,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_82,__None__,viirs-ir-sources-20130805.kmz,1
2648515,VIIRS,2013-08-05 15:47:26+00:00,,-12.116763,133.520111,0101000020E610000047E9D2BFA4B0604005C4245CC83B28C0,3.67,1009,3.22,54.65,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_89,__None__,viirs-ir-sources-20130805.kmz,1
2648516,VIIRS,2013-08-05 15:47:26+00:00,,-12.279318,134.313416,0101000020E610000061C1FD8007CA6040465ED6C4028F28C0,1.18,1123,0.86,9.56,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_91,__None__,viirs-ir-sources-20130805.kmz,1
2648517,VIIRS,2013-08-05 15:47:26+00:00,,-13.641765,142.078278,0101000020E6100000E23FDD4081C26140546F0D6C95482BC0,0.79,1202,0.46,3.84,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_92,__None__,viirs-ir-sources-20130805.kmz,1
2648518,VIIRS,2013-08-05 15:47:26+00:00,,-13.666115,142.059647,0101000020E6100000BF49D3A0E8C1614005C078060D552BC0,1.68,990,0.97,17.9,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_93,__None__,viirs-ir-sources-20130805.kmz,1
2648519,VIIRS,2013-08-05 15:47:26+00:00,,-13.668373,142.073822,0101000020E61000003677F4BF5CC261400F0F61FC34562BC0,1.57,1002,0.91,15.87,__None__,SVM10_npp_d20130805_t1541346_e1547132_IR_source_94,__None__,viirs-ir-sources-20130805.kmz,1
